dsp_pedon_id,project,soil,label,lu,till,matc,map_mm,texture_mapped,suborder_mapped,texture_sampled,suborder_sampled,measured_soc,measured_ace,measured_ksslwas,measured_resp,measured_ac,score_2_5_soc_mapped,score_mean_soc_mapped,score_97_5_soc_mapped,gt_90_soc_mapped,gt_95_soc_mapped,gt_99_soc_mapped,score_2_5_soc_sampled,score_mean_soc_sampled,score_97_5_soc_sampled,gt_90_soc_sampled,gt_95_soc_sampled,gt_99_soc_sampled,score_2_5_ac_mapped,score_mean_ac_mapped,score_97_5_ac_mapped,score_2_5_ace_mapped,score_mean_ace_mapped,score_97_5_ace_mapped,score_2_5_resp_mapped,score_mean_resp_mapped,score_97_5_resp_mapped,score_2_5_ksslwas_mapped,score_mean_ksslwas_mapped,score_97_5_ksslwas_mapped,gt_90_ac_mapped,gt_95_ac_mapped,gt_99_ac_mapped,gt_90_ace_mapped,gt_95_ace_mapped,gt_99_ace_mapped,gt_90_resp_mapped,gt_95_resp_mapped,gt_99_resp_mapped,gt_90_ksslwas_mapped,gt_95_ksslwas_mapped,gt_99_ksslwas_mapped,score_2_5_ac_sampled,score_mean_ac_sampled,score_97_5_ac_sampled,score_2_5_ace_sampled,score_mean_ace_sampled,score_97_5_ace_sampled,score_2_5_resp_sampled,score_mean_resp_sampled,score_97_5_resp_sampled,score_2_5_ksslwas_sampled,score_mean_ksslwas_sampled,score_97_5_ksslwas_sampled,gt_90_ac_sampled,gt_95_ac_sampled,gt_99_ac_sampled,gt_90_ace_sampled,gt_95_ace_sampled,gt_99_ace_sampled,gt_90_resp_sampled,gt_95_resp_sampled,gt_99_resp_sampled,gt_90_ksslwas_sampled,gt_95_ksslwas_sampled,gt_99_ksslwas_sampled
IL-019-SW-ARBRTM-001,Illinois,Drummer,Ref,FOREST,Perennial,11.03989983,1011.829956,T4,S3,T4,S3,4.038397059,12.50115941,NA,0.336924822,732.7645,0.940524517,0.948760744,0.956418238,3.633111971,4.052260599,4.966431212,0.940524517,0.948760744,0.956418238,3.633111971,4.052260599,4.966431212,0.846986632,0.866699228,0.884368238,0.999598814,0.999780447,0.99989207,0.180811776,0.20371997,0.227539884,NA,NA,NA,767.4132497,846.8864874,1018.824374,6.950188588,7.644336907,9.13722428,0.751717924,0.863072181,1.118343241,NA,NA,NA,0.846986632,0.866699228,0.884368238,0.999598814,0.999780447,0.99989207,0.180811776,0.20371997,0.227539884,NA,NA,NA,767.4132497,846.8864874,1018.824374,6.950188588,7.644336907,9.13722428,0.751717924,0.863072181,1.118343241,NA,NA,NA
IL-019-SW-ARBRTM-002,Illinois,Drummer,Ref,FOREST,Perennial,11.03989983,1011.829956,T4,S3,T3,S3,4.98,14.1045717,NA,0.335591987,872.6565,0.987359666,0.990195886,0.992566046,3.633111971,4.052260599,4.966431212,0.994914884,0.996508177,0.997721041,3.121766316,3.520746238,4.405416233,0.95071621,0.960295339,0.968458993,0.999926243,0.9999646,0.999985723,0.178014709,0.200784412,0.224503305,NA,NA,NA,767.4132497,846.8864874,1018.824374,6.950188588,7.644336907,9.13722428,0.751717924,0.863072181,1.118343241,NA,NA,NA,0.95786931,0.96324606,0.968331125,0.998988918,0.999265482,0.999493471,0.222077721,0.235537969,0.24963999,NA,NA,NA,728.8178118,828.9012671,1055.161479,7.611115397,8.56523353,10.68585969,0.729451356,0.839771334,1.09365507,NA,NA,NA
IL-019-SW-ARBRTM-003,Illinois,Drummer,Ref,FOREST,Perennial,11.03989983,1011.829956,T4,S3,T3,S3,4.86875,17.2178592,NA,0.467671958,874.181,0.984753885,0.988024819,0.990764528,3.633111971,4.052260599,4.966431212,0.993845729,0.995713172,0.997148615,3.121766316,3.520746238,4.405416233,0.951355465,0.960842268,0.968920808,0.999997079,0.999998875,0.99999969,0.48454305,0.513421122,0.542195299,NA,NA,NA,767.4132497,846.8864874,1018.824374,6.950188588,7.644336907,9.13722428,0.751717924,0.863072181,1.118343241,NA,NA,NA,0.958297133,0.963640337,0.968689491,0.999887538,0.999926654,0.999956132,0.537356287,0.553733188,0.570054687,NA,NA,NA,728.8178118,828.9012671,1055.161479,7.611115397,8.56523353,10.68585969,0.729451356,0.839771334,1.09365507,NA,NA,NA
IL-019-SW-RTHRML-001,Illinois,Drummer,SHM,CROP,No-till,11.22999954,1007.332947,T4,S3,NA,S3,2.7794,6.656905764,NA,NA,416.1485,0.647743085,0.665136147,0.684524657,3.600239933,4.015754346,4.922112273,NA,NA,NA,NA,NA,NA,0.152557811,0.174437837,0.198262871,0.860274165,0.879628989,0.897007514,NA,NA,NA,NA,NA,NA,759.7186234,838.3956712,1008.611454,6.848095573,7.532124507,9.003295965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL-019-SW-RTHRML-001A,Illinois,Drummer,SHM,CROP,No-till,11.22999954,1007.332947,T4,S3,NA,S3,2.5982,8.96687693,NA,0.095843521,655.6426,0.563485567,0.581146406,0.601248972,3.600239933,4.015754346,4.922112273,NA,NA,NA,NA,NA,NA,0.744354784,0.769841348,0.79318181,0.985544371,0.989492148,0.992623766,7.59e-6,2.17e-5,4.7e-5,NA,NA,NA,759.7186234,838.3956712,1008.611454,6.848095573,7.532124507,9.003295965,0.744426255,0.854701266,1.107499127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL-019-SW-RTHRML-002,Illinois,Drummer,SHM,CROP,No-till,11.22999954,1007.332947,T4,S3,NA,S3,2.4995,5.410751885,NA,NA,414.912,0.512930738,0.530945916,0.550968101,3.600239933,4.015754346,4.922112273,NA,NA,NA,NA,NA,NA,0.14992645,0.171633543,0.195199347,0.620889889,0.649346403,0.677757419,NA,NA,NA,NA,NA,NA,759.7186234,838.3956712,1008.611454,6.848095573,7.532124507,9.003295965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL-019-SW-RTHRML-003,Illinois,Drummer,SHM,CROP,No-till,11.25,1007.608948,T3,S4,NA,S4,3.6209,7.619468489,NA,NA,601.8,0.94039216,0.946513798,0.951934722,3.151142312,3.670945503,4.876231274,NA,NA,NA,NA,NA,NA,0.765478057,0.780006839,0.793762433,0.899160672,0.908861772,0.917759746,NA,NA,NA,NA,NA,NA,720.7967349,819.7796287,1043.552594,7.490786154,8.429948777,10.5174373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL-019-SW-RTHRML-004,Illinois,Drummer,SHM,CROP,No-till,11.25,1007.608948,T3,S4,NA,S4,2.17085,6.7277702680000004,NA,NA,341.581,0.643486249,0.656133898,0.668247637,3.151142312,3.670945503,4.876231274,NA,NA,NA,NA,NA,NA,0.190708716,0.204316117,0.218016551,0.816027447,0.829298449,0.841683637,NA,NA,NA,NA,NA,NA,720.7967349,819.7796287,1043.552594,7.490786154,8.429948777,10.5174373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IL-019-SW-RTHRML-004A,Illinois,Drummer,SHM,CROP,No-till,11.25,1007.608948,T3,S4,T3,S4,3.1639,11.59481249,NA,0.226399606,936.0503,0.893241347,0.901667722,0.909357979,3.151142312,3.670945503,4.876231274,0.893241347,0.901667722,0.909357979,3.151142312,3.670945503,4.876231274,0.97442856,0.978239448,0.981756428,0.994504165,0.995674275,0.996684173,0.038356395,0.043833951,0.049985109,NA,NA,NA,720.7967349,819.7796287,1043.552594,7.490786154,8.429948777,10.5174373,0.721760319,0.83091819,1.082128532,NA,NA,NA,0.97442856,0.978239448,0.981756428,0.994504165,0.995674275,0.996684173,0.038356395,0.043833951,0.049985109,NA,NA,NA,720.7967349,819.7796287,1043.552594,7.490786154,8.429948777,10.5174373,0.721760319,0.83091819,1.082128532,NA,NA,NA
IL-115-SW-ETAL-001,Illinois,Drummer,BAU,CROP,Till,11.43999958,992.9369507,T3,S4,T3,S3,2.57665,6.096009705,NA,0.17331654,371.0145,0.786785431,0.797519224,0.807642737,3.114955866,3.629013526,4.82122095,0.759901718,0.779232385,0.797577259,3.055433443,3.446237191,4.313022311,0.271618947,0.287099445,0.302635085,0.746295663,0.761482785,0.775890704,0.007332366,0.00902253,0.011077746,NA,NA,NA,712.8833581,810.7804051,1032.099344,7.34007962,8.26050486,10.30647126,0.713088093,0.8209356,1.069131472,NA,NA,NA,0.271618947,0.287099445,0.302635085,0.746295663,0.761482785,0.775890704,0.007332366,0.00902253,0.011077746,NA,NA,NA,712.8833581,810.7804051,1032.099344,7.34007962,8.26050486,10.30647126,0.713088093,0.8209356,1.069131472,NA,NA,NA
